# BOIC Annual Data
TKR	Year	HighPrice	LowPrice	EPS	Div	BookValue	CashFlow	Sales	PTP	NetIncome	TaxRatePct	DilutedShares	LTDebt	TotalDebt
CRI	2012	57.62	38.66	2.69	0	16.6673	3.305	2381.734	255.391	159.0547	36.9	59.0692	186	186
CRI	2013	77.79	55.28	2.75	0.48	12.081	-0.1884	2638.711	249.465	158.263	35.7	57.5222	586	586
CRI	2014	88.11	64.19	3.62	0.76	14.2061	3.3035	2893.868	302.906	192.084	35.7	53.0935	586	586
CRI	2015	109.53	79.85	4.5	0.88	16.2134	3.9074	3013.879	368.188	235.638	35.4	52.3346	584.431	584.431
CRI	2016	112.58	83.44	5.08	1.32	15.8561	5.5716	3199.184	396.07	256.057	34.8	50.3757	580.376	580.376
CRI	2017	118.89	77.9407	6.24	1.48	16.3627	5.4033	3400.41	391.032	300.358	22.6	48.1461	617.306	617.306
DISCA	2008	12.43455	5.11864	0.425	0	9.8378	0.7252	3443	754	317	46.7	644	3331	3789
DISCA	2009	16.69945	6.3651	0.65	0	10.9261	0.6482	3516	1031	552	45.8	850	3457	3612
DISCA	2010	23.20247	14.14523	0.735	0	10.956	0.7214	3773	935	652	30.8	858	3598	3618
DISCA	2011	23.40155	17.75178	1.4	0	17.1582	1.2864	4235	1559	1132	27.3	810	4219	4245
DISCA	2012	32.94935	20.55375	1.255	0	18.5735	1.3447	4487	1518	943	37.0	760	5212	5243
DISCA	2013	46.36408	32.9187	1.485	0	19.6648	1.6205	5535	1736	1075	38.0	722	6482	6499
DISCA	2014	46.10355	31.29	1.66	0	13.3994	1.7438	6265	1747	1139	34.9	687	6046	7153
DISCA	2015	34.94	25.02	1.58	0	13.5	1.7896	6394	1559	1034	32.8	656	7616	7735
DISCA	2016	29.75	23.66	1.96	0	13.3487	2.1066	6497	1671	1194	27.1	610	7841	7923
DISCA	2017	30.25	15.99	-0.59	0	15.1053	2.5938	6873	-137	-337	-128.5	576	14755	14785
GIL	2008	12.43455	5.11864	0.425	0	9.8378	0.7252	3443	754	317	46.7	644	3331	3789
GIL	2009	16.69945	6.3651	0.65	0	10.9261	0.6482	3516	1031	552	45.8	850	3457	3612
GIL	2010	23.20247	14.14523	0.735	0	10.956	0.7214	3773	935	652	30.8	858	3598	3618
GIL	2011	23.40155	17.75178	1.4	0	17.1582	1.2864	4235	1559	1132	27.3	810	4219	4245
GIL	2012	32.94935	20.55375	1.255	0	18.5735	1.3447	4487	1518	943	37.0	760	5212	5243
GIL	2013	46.36408	32.9187	1.485	0	19.6648	1.6205	5535	1736	1075	38.0	722	6482	6499
GIL	2014	46.10355	31.29	1.66	0	13.3994	1.7438	6265	1747	1139	34.9	687	6046	7153
GIL	2015	34.94	25.02	1.58	0	13.5	1.7896	6394	1559	1034	32.8	656	7616	7735
GIL	2016	29.75	23.66	1.96	0	13.3487	2.1066	6497	1671	1194	27.1	610	7841	7923
GIL	2017	30.25	15.99	-0.59	0	15.1053	2.5938	6873	-137	-337	-128.5	576	14755	14785
GOOG	2008	16.83333	8.42667	0.4	0.387	3.1265	0.2284	602.718	43.275	26.614	38.5	66.0375	0	0
GOOG	2009	14.66667	9.20667	0.46	0.493	3.1937	0.5442	692.695	49.335	30.342	38.5	66.429	0	0
GOOG	2010	17.04667	12.36667	0.51	0.595	3.2199	0.501	773.956	54.119	34.441	36.4	67.008	0	0
GOOG	2011	18.85	12.16	0.56	0.633	3.2505	0.4055	889.065	57.812	38.156	34.0	67.585	0	0
GOOG	2012	24.49	17.3	0.65	0.653	3.3734	0.8307	1077.435	70.264	44.214	37.1	68.485	0	0
GOOG	2013	29.53	21.6	0.67	0.673	4.0195	0.4054	1149.89	66.489	47.129	29.1	70.045	0	0
GOOG	2014	31.96	24.4	0.31	0.693	3.784	0.728	1293.183	31.708	21.85	31.1	71.341	0	0
GOOG	2015	38.486	29.42	0.8	0.713	4.1247	0.8049	1436.849	89.764	58.024	35.4	72.512	0	0
GOOG	2016	42.18	31.5	1.05	0.733	4.5606	0.4894	1562.662	120.387	77.396	35.7	73.474	0	0
GOOG	2017	55.68	37.54	1.19	0.753	5.317	0.03	1866.131	132.965	88.226	33.7	74.348	0	35.382
HCSG	2008	16.83333	8.42667	0.4	0.387	3.1265	0.2284	602.718	43.275	26.614	38.5	66.0375	0	0
HCSG	2009	14.66667	9.20667	0.46	0.493	3.1937	0.5442	692.695	49.335	30.342	38.5	66.429	0	0
HCSG	2010	17.04667	12.36667	0.51	0.595	3.2199	0.501	773.956	54.119	34.441	36.4	67.008	0	0
HCSG	2011	18.85	12.16	0.56	0.633	3.2505	0.4055	889.065	57.812	38.156	34.0	67.585	0	0
HCSG	2012	24.49	17.3	0.65	0.653	3.3734	0.8307	1077.435	70.264	44.214	37.1	68.485	0	0
HCSG	2013	29.53	21.6	0.67	0.673	4.0195	0.4054	1149.89	66.489	47.129	29.1	70.045	0	0
HCSG	2014	31.96	24.4	0.31	0.693	3.784	0.728	1293.183	31.708	21.85	31.1	71.341	0	0
HCSG	2015	38.486	29.42	0.8	0.713	4.1247	0.8049	1436.849	89.764	58.024	35.4	72.512	0	0
HCSG	2016	42.18	31.5	1.05	0.733	4.5606	0.4894	1562.662	120.387	77.396	35.7	73.474	0	0
HCSG	2017	55.68	37.54	1.19	0.753	5.317	0.03	1866.131	132.965	88.226	33.7	74.348	0	35.382
MTZ	2008	15.74	5.55	0.97	0	6.5224	0.3362	1378.663	67.472	65.788	1.3	68.916	287.454	304.338
MTZ	2009	14	8.9	0.9	0	6.9537	1.2509	1623.502	79.133	70.748	10.6	81.762	409.923	438.396
MTZ	2010	15.48	9.33	1.05	0	8.3498	2.064	2308.031	154	90.528	41.3	90.913	394.151	412.55
MTZ	2011	23.17	13.785	1.23	0	10.7854	-0.7597	3008.977	174.027	106.001	39.1	86.718	460.725	494.916
MTZ	2012	24.98	13.61	1.42	0	11.2124	1.1262	3726.789	192.719	107.426	39.5	82.087	546.323	598.919
MTZ	2013	35.31	25.11	1.74	0	12.6098	0.8729	4324.787	240.214	140.95	38.5	84.901	765.425	816.801
MTZ	2014	44.8	18.14	1.42	0	13.2649	2.4799	4611.803	198.43	115.923	38.5	86.196	1061.159	1134.79
MTZ	2015	22.79	14.48	-0.98	0	12.7396	3.516	4208.33	-67.746	-79.11	-17.6	80.489	945.464	1023.118
MTZ	2016	40.9	12.435	1.61	0	12.4161	1.087	5134.703	225.819	131.263	40.6	81.394	961.379	1025.979
MTZ	2017	51.2	34.325	4.22	0	15.645	0.399	6606.978	371.826	347.213	6.2	82.325	1280.706	1368.572
PHM	2008	15.74	5.55	0.97	0	6.5224	0.3362	1378.663	67.472	65.788	1.3	68.916	287.454	304.338
PHM	2009	14	8.9	0.9	0	6.9537	1.2509	1623.502	79.133	70.748	10.6	81.762	409.923	438.396
PHM	2010	15.48	9.33	1.05	0	8.3498	2.064	2308.031	154	90.528	41.3	90.913	394.151	412.55
PHM	2011	23.17	13.785	1.23	0	10.7854	-0.7597	3008.977	174.027	106.001	39.1	86.718	460.725	494.916
PHM	2012	24.98	13.61	1.42	0	11.2124	1.1262	3726.789	192.719	107.426	39.5	82.087	546.323	598.919
PHM	2013	35.31	25.11	1.74	0	12.6098	0.8729	4324.787	240.214	140.95	38.5	84.901	765.425	816.801
PHM	2014	44.8	18.14	1.42	0	13.2649	2.4799	4611.803	198.43	115.923	38.5	86.196	1061.159	1134.79
PHM	2015	22.79	14.48	-0.98	0	12.7396	3.516	4208.33	-67.746	-79.11	-17.6	80.489	945.464	1023.118
PHM	2016	40.9	12.435	1.61	0	12.4161	1.087	5134.703	225.819	131.263	40.6	81.394	961.379	1025.979
PHM	2017	51.2	34.325	4.22	0	15.645	0.399	6606.978	371.826	347.213	6.2	82.325	1280.706	1368.572
QCOM	2008	56.88	35.17	1.9	0.6	10.8357	1.3018	11142	3826	3160	17.4	1660	0	173
QCOM	2009	48.72	28.16	0.95	0.66	12.1726	3.832	10416	2076	1592	23.3	1673	0	0
QCOM	2010	49.8	31.6501	1.96	0.72	12.9392	2.2014	10991	4034	3247	19.5	1658	0	1086
QCOM	2011	59.8	42.45	2.7	0.81	16.0327	2.547	14957	5687	4260	19.9	1691	0	994
QCOM	2012	68.87	46.4	3.06	0.93	19.0996	2.7076	19121	6562	6109	19.5	1741	0	0
QCOM	2013	70.37	57.29	3.91	1.2	22.3015	4.4071	24866	8194	6853	16.5	1754	0	0
QCOM	2014	81.97	65.47	4.4	1.54	23.2409	4.4936	26487	8778	7967	14.2	1714	0	0
QCOM	2015	78.53	52.17	3.22	1.8	21.7861	2.7529	25281	6487	5271	18.8	1639	9969	10969
QCOM	2016	70.4	42.24	3.81	2.02	20.7636	4.5801	23554	6833	5705	16.6	1498	10008	11757
QCOM	2017	71.62	48.92	1.65	2.2	21.2307	2.6866	22291	3020	2466	18.4	1490	19398	21893
R	2008	131.99	27.71	3.52	0.92	24.1867	0.378	6203.743	349.922	199.881	42.9	56.79	2478.537	2862.799
R	2009	46.58	19	1.62	0.96	26.7129	5.5771	4887.254	143.769	61.945	37.3	55.094	2265.074	2497.691
R	2010	52.8	31.86	2.37	1.04	27.4415	-0.9894	5136.435	186.305	118.17	33.1	51.884	2326.878	2747.002
R	2011	60.383	34.28	3.31	1.12	28.3793	-12.9159	6050.534	279.387	169.777	38.7	50.878	3107.779	3382.145
R	2012	57.34	32.76	3.91	1.2	28.5661	-19.7542	6256.967	303.117	209.979	33.7	50.74	3452.821	3820.796
R	2013	73.97	50.41	4.63	1.3	31.0386	-17.7292	6419.285	368.895	237.792	34.1	52.071	3929.987	4189.425
R	2014	95.82	64.365	4.14	1.42	37.3777	-16.798	6638.774	338.549	218.575	34.9	53.036	4500.275	4512.482
R	2015	100.6436	53.54	5.73	1.56	36.4936	-23.0434	6571.893	469.215	305.112	34.8	53.26	4883.326	5517.856
R	2016	85.42	45.12	4.94	1.7	39.2241	-5.7357	6786.984	406.381	262.477	34.9	53.361	4599.864	5391.274
R	2017	85.77	62.52	14.87	1.8	41.0736	-5.8966	7329.599	313.786	788.167	-152.1	52.988	4583.582	5409.651
